h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
8,1,.3333333432674408,0,0,0,0,1,19,1,1,1,1,0,1,11.28996564677606,0,6.666666666666667,0,3,0,1,1,1,0,0
8,1,.5,5,0,3,0,1,17,1,3,1,1,0,1,10.92138279510453,0,9.666666666666666,1,4,0,1,0,1,0,1
8,1,1,2,0,0,0,1,16,1,1,1,0,0,0,11.02535646390487,0,7.666666666666667,2,3,0,1,1,1,0,0
8,2,.5,0,0,2,0,1,18,1,2,1,0,0,1,11.0868200538135,0,9.25,4,3,0,1,1,1,0,0
8,2,1,0,0,6,0,1,16,1,5,0,0,0,1,11.63035697218106,0,11,2,2,0,1,1,1,0,1
7,2,1,6,0,3,0,1,15,1,2,1,0,0,0,10.40181259784858,1,9,3,4,0,1,1,1,0,0
9,3,1,6,1,0,0,0,24,1,5,1,1,0,1,11.3115490316448,0,13.75,1,3,0,1,1,1,0,1
8,.5,.5,5,0,1.5,0,1,15,1,1,1,0,0,0,10.15716363863842,1,7.5,1,4,0,1,0,1,0,0
8,1,1,7,0,3,0,0,16,1,4,1,0,0,1,11.08980542162334,0,14.5,1,3,1,1,1,1,0,1
6,1,1,7,0,0,0,0,14,1,2,1,0,0,1,11.08980542162334,0,14.5,1,3,1,1,1,1,0,1
8,1,.3333333432674408,3,0,1,0,0,27,1,5,1,1,1,1,11.28147198161273,1,10.33333333333333,2,2,0,1,1,1,2,1
8,.25,.25,5,0,1,0,0,14,1,3,1,0,0,1,10.17645413125824,0,5.5,2,2,0,1,0,1,0,1
7,2,1,1,1.5,0,0,0,23,1,2,1,1,0,1,10.98537238073204,0,10,0,2,0,1,1,1,0,0
10,1.5,.5,0,.5,5,0,0,16,1,4,1,0,0,1,10.83608559451001,0,11,2,2,0,1,0,1,0,0
10,.6666666865348816,0,0,0,2,0,1,14,1,2,0,0,0,1,11.19429884390709,0,10.5,1,2,0,1,1,1,0,0
8,1,1,0,2,3,0,0,35,1,2,1,0,0,1,10.03337554519898,0,7.5,2,0,0,1,0,1,0,0
8,.5,1.5,0,0,2,0,1,20,1,4,1,0,0,0,10.24074697924191,0,7.333333333333333,3,1,0,1,1,1,1,0
8,1,2,0,0,0,0,0,15,1,1,1,0,0,1,10.49425172470511,0,8,2,4,0,1,1,1,0,0
10,1,0,0,0,0,0,1,23,1,4,1,1,0,1,11.18660512304524,0,10.4,0,5,0,1,1,1,0,0
8,1.5,1,0,0,0,0,0,21,1,5,1,1,0,1,11.18660512304524,0,10.4,0,5,0,1,1,1,0,0
